Date,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Avg,Low,High,Low,Sum,,wind avg,wind avg mph,Direction
3/28/2019,65.9 °F,57.9 °F,51.0 °F,42.2 °F,38.9 °F,31.9 °F,62%,50%,32%,25,15.1,3,30.09 in,29.99 in,0.00 in,,15.1,15.1,SW
3/29/2019,67.9 °F,56.4 °F,46.8 °F,38.3 °F,32.8 °F,23.1 °F,62%,43%,20%,21,9.7,0,30.15 in,30.03 in,0.00 in,,9.7,9.7,SW
3/30/2019,72.4 °F,56.8 °F,40.7 °F,40.6 °F,32.2 °F,24.6 °F,71%,44%,18%,12,3.2,0,30.14 in,,,,3.2,3.2,SSW
3/10/2018,56.2 °F,54.5 °F,53.8 °F,51.0 °F,50.5 °F,50.1 °F,89%,86%,82%,7,0.9,0,29.90 in,29.83 in,0.07 in,,0.9,0.9,SW
3/11/2018,68.2 °F,59.7 °F,52.4 °F,54.9 °F,49.3 °F,44.8 °F,92%,71%,44%,9,1.7,0,30.06 in,29.90 in,0.14 in,,1.7,1.7,WNW
3/12/2018,73.0 °F,61.9 °F,48.9 °F,52.3 °F,48.1 °F,44.0 °F,84%,63%,39%,10,3.1,0,30.07 in,29.89 in,0.06 in,,3.1,3.1,NNE
3/13/2018,72.9 °F,62.7 °F,54.1 °F,52.6 °F,49.4 °F,46.2 °F,78%,63%,47%,28,12,0,29.94 in,29.79 in,0.03 in,,12,12,SSW
3/14/2018,62.6 °F,55.3 °F,49.0 °F,48.1 °F,39.7 °F,31.1 °F,78%,57%,32%,28,17.2,0,29.86 in,29.78 in,0.00 in,,17.2,17.2,SW
3/15/2018,57.3 °F,51.1 °F,46.2 °F,38.6 °F,31.0 °F,23.8 °F,68%,47%,32%,26,16.1,0,29.92 in,29.80 in,0.00 in,,16.1,16.1,WSW
3/16/2018,60.6 °F,51.0 °F,44.2 °F,39.6 °F,32.6 °F,24.4 °F,70%,50%,34%,30,18.5,2,29.92 in,29.75 in,0.00 in,,18.5,18.5,SSW
3/17/2018,56.5 °F,48.2 °F,42.8 °F,33.8 °F,28.7 °F,22.9 °F,61%,48%,29%,28,17.6,10,29.94 in,29.83 in,0.00 in,,17.6,17.6,SW
3/18/2018,61.0 °F,50.2 °F,37.2 °F,34.9 °F,27.8 °F,23.5 °F,62%,44%,26%,14,5.4,0,30.13 in,29.93 in,0.00 in,,5.4,5.4,SW
3/19/2018,67.9 °F,53.2 °F,36.8 °F,31.3 °F,24.9 °F,20.8 °F,62%,37%,18%,9,2.4,0,30.12 in,29.95 in,0.00 in,,2.4,2.4,SSW
3/20/2018,67.9 °F,54.4 °F,42.5 °F,47.9 °F,29.1 °F,20.2 °F,85%,41%,21%,17,2.9,0,30.03 in,29.87 in,0.03 in,,2.9,2.9,SW
3/21/2018,57.2 °F,52.9 °F,46.8 °F,53.0 °F,48.5 °F,42.4 °F,89%,85%,78%,7,1.2,0,30.00 in,29.90 in,0.12 in,,1.2,1.2,SSW
3/22/2018,63.1 °F,57.8 °F,51.6 °F,54.7 °F,50.2 °F,46.3 °F,92%,77%,62%,31,11.5,0,29.98 in,29.83 in,0.10 in,,11.5,11.5,SSW
3/23/2018,68.9 °F,56.9 °F,48.7 °F,46.6 °F,38.0 °F,26.9 °F,83%,52%,27%,21,11.5,0,30.05 in,29.90 in,0.06 in,,11.5,11.5,SW
3/24/2018,59.0 °F,51.8 °F,45.0 °F,36.1 °F,33.9 °F,31.0 °F,66%,51%,40%,31,19,2,29.93 in,29.83 in,0.02 in,,19,19,SW
3/25/2018,55.3 °F,49.2 °F,44.3 °F,35.8 °F,31.5 °F,28.8 °F,63%,51%,39%,28,20.5,11,29.93 in,29.83 in,0.00 in,,20.5,20.5,SW
3/26/2018,62.9 °F,53.0 °F,43.5 °F,31.0 °F,21.5 °F,11.8 °F,58%,33%,14%,23,11.6,0,30.05 in,29.92 in,0.00 in,,11.6,11.6,NW
3/27/2018,68.6 °F,56.2 °F,49.2 °F,26.5 °F,21.5 °F,17.0 °F,33%,26%,20%,22,11,3,30.16 in,30.03 in,0.00 in,,11,11,NNE
3/28/2018,77.3 °F,70.0 °F,60.5 °F,38.2 °F,36.3 °F,34.4 °F,43%,30%,23%,14,8.9,1,29.98 in,29.92 in,0.00 in,,8.9,8.9,SW
3/29/2018,82.5 °F,66.1 °F,44.3 °F,44.5 °F,39.0 °F,34.5 °F,70%,40%,19%,12,2.8,0,30.04 in,29.87 in,0.00 in,,2.8,2.8,SSW
3/30/2018,84.2 °F,68.5 °F,51.1 °F,45.9 °F,41.3 °F,35.5 °F,68%,41%,19%,16,4.2,0,30.03 in,,,,4.2,4.2,SW
3/1/2017,62.1 °F,47.8 °F,32.7 °F,34.5 °F,26.7 °F,20.2 °F,80%,49%,23%,14,5,0,30.39 in,30.27 in,0.00 in,,5,5,E
3/2/2017,68.6 °F,51.6 °F,35.2 °F,28.8 °F,23.6 °F,19.2 °F,60%,36%,17%,15,4.1,0,30.39 in,30.16 in,0.00 in,,4.1,4.1,ENE
3/3/2017,70.5 °F,53.4 °F,34.9 °F,32.9 °F,25.3 °F,19.3 °F,61%,36%,18%,8,2.2,0,30.20 in,29.92 in,0.00 in,,2.2,2.2,SSE
3/4/2017,68.9 °F,54.6 °F,38.7 °F,34.9 °F,27.9 °F,20.2 °F,70%,40%,20%,25,12.5,0,29.97 in,29.81 in,0.00 in,,12.5,12.5,SSW
3/5/2017,55.3 °F,49.6 °F,42.3 °F,38.7 °F,29.1 °F,20.2 °F,58%,46%,30%,34,23.1,6,30.02 in,29.75 in,0.00 in,,23.1,23.1,SW
3/6/2017,51.5 °F,41.1 °F,36.4 °F,23.2 °F,20.3 °F,17.4 °F,51%,44%,27%,22,7.3,0,30.20 in,30.02 in,0.00 in,,7.3,7.3,SW
3/17/2017,82.3 °F,73.2 °F,64.7 °F,45.3 °F,43.3 °F,40.3 °F,44%,35%,23%,9,4,0,29.94 in,29.87 in,0.00 in,,4,4,SW
3/18/2017,83.6 °F,67.0 °F,49.2 °F,42.8 °F,37.7 °F,31.4 °F,60%,37%,17%,22,5.6,0,30.01 in,29.85 in,0.00 in,,5.6,5.6,SSW
3/19/2017,80.9 °F,66.1 °F,48.3 °F,39.1 °F,35.4 °F,28.3 °F,56%,34%,21%,18,5.9,0,30.02 in,29.89 in,0.00 in,,5.9,5.9,
3/20/2017,77.3 °F,67.2 °F,60.0 °F,45.5 °F,37.7 °F,26.6 °F,55%,35%,16%,30,11.5,0,29.92 in,29.79 in,0.00 in,,11.5,11.5,SSW
3/21/2017,67.6 °F,59.9 °F,53.4 °F,50.4 °F,45.6 °F,37.3 °F,76%,59%,47%,32,11.6,0,29.94 in,29.85 in,0.03 in,,11.6,11.6,SSW
3/22/2017,65.0 °F,54.6 °F,47.8 °F,46.7 °F,39.2 °F,33.8 °F,79%,58%,32%,33,13.3,0,29.91 in,29.80 in,0.00 in,,13.3,13.3,SW
3/23/2017,63.0 °F,54.5 °F,46.3 °F,37.3 °F,33.8 °F,29.4 °F,58%,46%,32%,25,15.2,0,30.12 in,29.86 in,0.00 in,,15.2,15.2,SW
3/24/2017,74.7 °F,54.5 °F,35.7 °F,42.0 °F,33.2 °F,27.6 °F,75%,48%,27%,27,8.4,0,30.20 in,29.99 in,0.00 in,,8.4,8.4,SW
3/25/2017,68.5 °F,59.0 °F,51.7 °F,41.4 °F,39.3 °F,31.8 °F,62%,49%,34%,24,16.9,7,30.03 in,29.83 in,0.00 in,,16.9,16.9,SW
3/26/2017,70.4 °F,57.1 °F,46.2 °F,44.4 °F,39.9 °F,36.8 °F,72%,54%,31%,28,11.9,0,29.96 in,29.84 in,0.00 in,,11.9,11.9,SW
3/27/2017,65.6 °F,58.9 °F,53.3 °F,42.1 °F,35.5 °F,31.7 °F,63%,43%,29%,33,19.2,5,30.02 in,29.78 in,0.00 in,,19.2,19.2,WSW
3/28/2017,73.0 °F,60.5 °F,45.0 °F,37.6 °F,28.3 °F,23.2 °F,53%,32%,16%,15,6.9,0,30.07 in,29.92 in,0.00 in,,6.9,6.9,NNE
3/29/2017,79.4 °F,61.3 °F,41.5 °F,43.7 °F,35.7 °F,30.2 °F,65%,42%,19%,18,5.5,0,30.10 in,29.90 in,0.00 in,,5.5,5.5,SW
3/30/2017,66.7 °F,60.3 °F,51.1 °F,45.3 °F,36.3 °F,19.6 °F,53%,42%,20%,39,20.4,1,29.91 in,,,,20.4,20.4,WSW
3/5/2016,69.0 °C,63.2 °C,58.3 °C,49.3 °C,46.9 °C,44.8 °C,67 %,56 %,45 %,31,22.3,12,29.90 hPa,29.77 hPa,0.00 mm,,22.3,13.85499,SSW
3/6/16,59.1 °C,54.3 °C,49.6 °C,47.8 °C,36.6 °C,27.6 °C,82 %,53 %,31 %,33,20.1,3,29.88 hPa,29.75 hPa,0.16 mm,,20.1,12.48813,WSW
3/7/16,54.0 °C,48.8 °C,44.1 °C,38.0 °C,33.2 °C,28.9 °C,76 %,56 %,38 %,23,12.7,0,29.83 hPa,29.62 hPa,0.02 mm,,12.7,7.89051,SSW
3/8/16,64.9 °C,51.8 °C,39.2 °C,38.5 °C,33.4 °C,29.7 °C,71 %,52 %,27 %,23,8.1,0,30.01 hPa,29.83 hPa,0.00 mm,,8.1,5.03253,SW
3/9/16,72.0 °C,56.8 °C,39.9 °C,39.5 °C,36.0 °C,31.9 °C,75 %,49 %,26 %,8,2.6,0,30.07 hPa,29.94 hPa,0.00 mm,,2.6,1.61538,S
3/10/16,80.9 °C,62.2 °C,43.0 °C,42.5 °C,37.9 °C,28.4 °C,74 %,45 %,15 %,23,6.2,0,30.06 hPa,29.85 hPa,0.00 mm,,6.2,3.85206,SW
3/11/16,65.7 °C,55.6 °C,45.0 °C,44.0 °C,39.0 °C,32.4 °C,77 %,55 %,34 %,37,14.6,0,29.90 hPa,29.67 hPa,0.19 mm,,14.6,9.07098,SW
3/12/16,61.8 °C,52.0 °C,44.9 °C,39.0 °C,36.0 °C,33.2 °C,69 %,55 %,40 %,33,20.5,9,30.06 hPa,29.86 hPa,0.00 mm,,20.5,12.73665,SW
3/13/16,60.6 °C,55.5 °C,49.2 °C,43.0 °C,39.3 °C,34.0 °C,62 %,55 %,48 %,33,21.7,13,30.03 hPa,29.92 hPa,0.00 mm,,21.7,13.48221,SW
3/14/16,69.4 °C,59.9 °C,53.5 °C,43.9 °C,41.7 °C,38.6 °C,68 %,52 %,33 %,31,15.9,0,30.01 hPa,29.88 hPa,0.00 mm,,15.9,9.87867,SSW
3/15/16,74.2 °C,58.8 °C,46.8 °C,42.3 °C,39.4 °C,37.0 °C,71 %,51 %,27 %,12,4.6,0,30.09 hPa,29.90 hPa,0.00 mm,,4.6,2.85798,SSW
3/16/16,79.1 °C,61.4 °C,43.9 °C,39.6 °C,34.5 °C,29.6 °C,69 %,41 %,18 %,7,2.6,0,30.06 hPa,29.86 hPa,0.00 mm,,2.6,1.61538,S
3/17/16,81.9 °C,63.4 °C,44.1 °C,45.1 °C,34.5 °C,28.6 °C,55 %,36 %,17 %,22,6.1,0,29.92 hPa,29.72 hPa,0.00 mm,,6.1,3.78993,SW
3/18/16,82.3 °C,64.6 °C,49.3 °C,42.5 °C,37.6 °C,34.1 °C,62 %,40 %,18 %,18,3.8,0,29.88,,,,3.8,2.36094,SW
3/1/15,54.0 °C,46.0 °C,38.7 °C,40.6 °C,37.7 °C,33.7 °C,86 %,73 %,49 %,15,4.6,0,29.96 hPa,29.86 hPa,0.29 mm,,4.6,2.85798,SE
3/2/15,56.5 °C,48.1 °C,41.9 °C,42.6 °C,38.5 °C,32.8 °C,89 %,71 %,42 %,21,8.1,0,29.93 hPa,29.77 hPa,0.01 mm,,8.1,5.03253,SW
3/3/15,60.4 °C,47.2 °C,34.4 °C,39.3 °C,35.7 °C,30.4 °C,86 %,66 %,39 %,14,3.2,0,29.98 hPa,29.85 hPa,0.00 mm,,3.2,1.98816,SW
3/4/15,63.2 °C,50.1 °C,39.9 °C,38.1 °C,28.7 °C,23.9 °C,77 %,46 %,24 %,12,2.3,0,30.25 hPa,29.98 hPa,0.00 mm,,2.3,1.42899,E
3/5/15,66.4 °C,50.4 °C,33.7 °C,31.7 °C,26.8 °C,21.2 °C,68 %,43 %,18 %,11,3,0,30.39 hPa,30.23 hPa,0.00 mm,,3,1.8639,ENE
3/6/15,73.1 °C,54.6 °C,36.7 °C,32.9 °C,27.2 °C,24.6 °C,64 %,38 %,17 %,16,3.8,0,30.30 hPa,30.07 hPa,0.00 mm,,3.8,2.36094,E
3/7/15,76.4 °C,57.5 °C,36.2 °C,37.9 °C,29.3 °C,24.4 °C,66 %,37 %,19 %,7,1.9,0,30.13 hPa,29.92 hPa,0.00 mm,,1.9,1.18047,NNW
3/8/15,78.7 °C,59.5 °C,39.9 °C,39.9 °C,33.2 °C,28.4 °C,68 %,42 %,16 %,14,3.6,0,30.04 hPa,29.83 hPa,0.00 mm,,3.6,2.23668,WSW
3/9/15,77.6 °C,66.1 °C,48.0 °C,34.5 °C,28.6 °C,24.3 °C,57 %,27 %,14 %,13,4,0,29.99 hPa,29.83 hPa,0.00 mm,,4,2.4852,NNW
3/10/15,79.0 °C,60.2 °C,39.4 °C,31.8 °C,27.5 °C,23.7 °C,60 %,32 %,13 %,9,2.1,0,30.02 hPa,29.88 hPa,0.00 mm,,2.1,1.30473,SE
3/11/15,71.1 °C,60.9 °C,53.7 °C,43.2 °C,35.6 °C,27.0 °C,49 %,39 %,26 %,24,6.5,0,30.07 hPa,29.95 hPa,0.00 mm,,6.5,4.03845,S
3/12/15,78.1 °C,63.3 °C,45.3 °C,42.0 °C,36.9 °C,33.1 °C,67 %,41 %,23 %,19,7.4,0,30.14 hPa,29.99 hPa,0.00 mm,,7.4,4.59762,NE
3/13/15,79.7 °C,68.9 °C,55.9 °C,36.7 °C,32.9 °C,28.9 °C,43 %,27 %,18 %,16,8.6,0,30.13 hPa,29.97 hPa,0.00 mm,,8.6,5.34318,NE
3/14/15,83.6 °C,65.6 °C,48.7 °C,37.9 °C,32.9 °C,28.8 °C,49 %,31 %,19 %,8,2.4,0,30.15 hPa,29.97 hPa,0.00 mm,,2.4,1.49112,SW
3/15/15,83.7 °C,67.9 °C,52.3 °C,39.3 °C,35.6 °C,32.2 °C,49 %,32 %,19 %,11,3.6,0,30.09 hPa,29.85 hPa,0.00 mm,,3.6,2.23668,NNE
3/16/15,83.1 °C,68.6 °C,52.2 °C,41.2 °C,37.1 °C,34.1 °C,51 %,33 %,18 %,14,5,0,29.95 hPa,29.76 hPa,0.00 mm,,5,3.1065,SSW
3/17/15,77.0 °C,66.2 °C,56.4 °C,43.8 °C,41.3 °C,37.8 °C,56 %,41 %,27 %,20,9.4,0,29.89 hPa,29.76 hPa,0.00 mm,,9.4,5.84022,SW
3/18/15,76.5 °C,65.4 °C,58.7 °C,46.2 °C,43.4 °C,39.4 °C,58 %,46 %,28 %,20,4.1,0,29.91 hPa,29.77 hPa,0.00 mm,,4.1,2.54733,SW
3/19/15,83.2 °C,67.2 °C,51.9 °C,44.7 °C,37.4 °C,20.5 °C,69 %,39 %,10 %,18,5,0,29.95 hPa,29.81 hPa,0.00 mm,,5,3.1065,NW
3/20/15,83.4 °C,65.3 °C,43.8 °C,42.7 °C,34.1 °C,22.0 °C,64 %,35 %,11 %,14,4.5,0,30.06 hPa,29.90 hPa,0.00 mm,,4.5,2.79585,SSW
3/21/15,80.6 °C,70.0 °C,61.4 °C,43.2 °C,34.6 °C,26.7 °C,46 %,29 %,14 %,27,15.6,5,29.98 hPa,29.87 hPa,0.00 mm,,15.6,9.69228,SW
3/22/15,77.1 °C,67.6 °C,61.1 °C,41.2 °C,35.6 °C,32.4 °C,48 %,31 %,21 %,25,15.6,4,29.99 hPa,29.86 hPa,0.00 mm,,15.6,9.69228,SW
3/23/15,70.4 °C,61.7 °C,54.2 °C,41.9 °C,39.8 °C,37.4 °C,60 %,45 %,31 %,33,21,5,30.00 hPa,29.88 hPa,0.00 mm,,21,13.0473,WSW
3/24/15,74.5 °C,63.5 °C,56.0 °C,41.3 °C,37.7 °C,33.2 °C,48 %,39 %,27 %,28,15,2,30.03 hPa,29.88 hPa,0.00 mm,,15,9.3195,SW
3/25/15,80.0 °C,64.9 °C,50.4 °C,40.1 °C,35.0 °C,27.7 °C,58 %,36 %,18 %,12,5.1,0,30.13 hPa,29.97 hPa,0.00 mm,,5.1,3.16863,SE
3/26/15,61.7 °C,55.4 °C,49.4 °C,28.4 °C,26.9 °C,25.4 °C,40 %,33 %,28 %,5,2.1,0,30.11 hPa,30.07 hPa,0.00 mm,,2.1,1.30473,SSE
,58.5 °C,54.1 °C,46.7 °C,46.2 °C,43.7 °C,40.1 °C,81 %,68 %,59 %,18,7.3,0,30.10 hPa,30.02 hPa,0.01 mm,,7.3,4.53549,
3/3/14,63.8 °C,52.8 °C,40.5 °C,46.3 °C,42.3 °C,35.4 °C,86 %,69 %,50 %,10,3.1,0,30.15 hPa,29.98 hPa,0.00 mm,,3.1,1.92603,SW
3/4/14,68.5 °C,59.6 °C,52.6 °C,45.7 °C,42.8 °C,38.8 °C,70 %,55 %,40 %,17,5.9,0,30.02 hPa,29.90 hPa,0.00 mm,,5.9,3.66567,SW
3/5/14,74.6 °C,59.1 °C,43.1 °C,44.9 °C,41.0 °C,36.1 °C,85 %,56 %,25 %,12,3.9,0,30.09 hPa,29.93 hPa,0.00 mm,,3.9,2.42307,SSW
3/6/14,73.2 °C,64.2 °C,56.1 °C,47.6 °C,42.7 °C,29.2 °C,57 %,46 %,28 %,35,15.9,0,29.98 hPa,29.76 hPa,0.00 mm,,15.9,9.87867,SW
3/7/14,72.5 °C,62.1 °C,50.4 °C,31.8 °C,26.5 °C,16.5 °C,47 %,27 %,12 %,23,10.2,0,30.05 hPa,29.86 hPa,0.00 mm,,10.2,6.33726,W
3/8/14,74.3 °C,61.2 °C,48.2 °C,30.0 °C,26.3 °C,24.0 °C,45 %,28 %,16 %,13,5.1,0,30.19 hPa,30.05 hPa,0.00 mm,,5.1,3.16863,ENE
3/9/14,76.7 °C,63.7 °C,50.4 °C,31.0 °C,26.2 °C,22.3 °C,45 %,26 %,14 %,8,2.3,0,30.22 hPa,30.03 hPa,0.00 mm,,2.3,1.42899,ESE
3/10/14,74.2 °C,58.1 °C,47.6 °C,34.0 °C,31.2 °C,24.2 °C,52 %,38 %,21 %,24,4.9,0,30.06 hPa,29.91 hPa,0.00 mm,,4.9,3.04437,WSW
