num (ignore),Avg windspeed,windSpeed,Direction,windTurbulence,deploymentTime,,simTime,posEast,posNorth,altitude,longitude,latitude,max altitude,deploymentVelocity,groundspeedVelocity
267,1.701385375,0,217.6297339,0,72.41860236,,848.1745294,4354.349841,2099.30708,0,-80.55538595,28.62887222,22850.13709,78.81818524,11.62264554
268,3.755136,0,228.5451779,0,71.51170752,,848.9025305,4149.279586,-177.841304,0,-80.55749536,28.60839401,22801.98876,80.45979876,11.62263592
269,4.485301333,0,291.5529335,0,67.92875255,,848.1658793,4148.581746,903.7347484,0,-80.55749857,28.61812086,22789.53275,79.55371476,11.62264075
270,0.6932447537,0,167.5034674,0,67.43169485,,849.05953,3983.271087,961.0645532,0,-80.55919195,28.61863695,22806.11224,79.37112088,11.62264089
271,6.645994667,0,214.2392503,0,71.43067085,,849.5644845,5397.851477,1608.856365,0,-80.54469671,28.62445757,22802.71931,79.59150467,11.62264328
272,1.659036554,0,187.2650953,0,73.11299063,,848.7839099,7966.859756,-1616.235295,0,-80.51839866,28.59544042,22851.01239,79.19631259,11.62263025
273,5.012570724,0,349.1298003,0,67.7227159,,850.1192858,4426.82319,-699.9537048,0,-80.55465427,28.60369762,22801.1481,91.86245136,11.62263408
274,1.401835706,0,238.016445,0,70.79378443,,848.0935198,4889.99898,-77.03890585,0,-80.5499071,28.60929797,22794.17322,79.26501766,11.62263679
275,0.9489634375,0,259.6055268,0,73.571998,,849.017073,5636.102515,2050.493664,0,-80.54225354,28.6284283,22751.17872,79.3070862,11.62264538
276,5.742474672,0,234.1800091,0,68.43690462,,852.6561022,4061.220144,1774.905024,0,-80.55839047,28.62595575,22761.0973,78.1937722,11.62264428
277,1.403757992,0,209.8210446,0,69.48616108,,849.6328529,7518.976437,1701.857567,0,-80.52296427,28.6252834,22805.88188,79.12674621,11.62264395
278,2.541095814,0,251.0557742,0,72.20695131,,848.7360565,5536.187876,2295.454918,0,-80.54327605,28.63063172,22833.58514,79.96449529,11.62264634
279,3.52737359,0,220.1921125,0,68.43539226,,849.0775756,2383.140151,626.0976595,0,-80.57558576,28.61562844,22834.89568,79.25722201,11.62263956
280,2.031515165,0,243.9283917,0,71.64655142,,848.931798,5615.031718,-659.232744,0,-80.54248277,28.60405924,22816.1153,79.42737566,11.6226343
281,6.645994667,0,206.0576556,0,71.82695249,,849.7283649,3806.144914,2134.740489,0,-80.56100266,28.6291926,22811.96054,82.36261892,11.62264572
282,0.005071932564,0,247.7992676,0,72.66528635,,849.6075382,4759.169116,1854.034945,0,-80.55123925,28.62666501,22799.58588,80.36852545,11.6226446
283,5.03910156,0,189.5716413,0,71.84919232,,849.6566609,5386.626132,994.6415446,0,-80.54481462,28.61893385,22812.44538,78.98331408,11.62264109
284,5.621069118,0,242.1231771,0,70.55189739,,848.7015319,4488.804567,480.9319396,0,-80.55401472,28.61431737,22781.10246,80.48555975,11.62263902
285,0.68668983,0,197.5707401,0,68.93950438,,848.2290915,6001.10747,1291.548793,0,-80.53851776,28.62160131,22830.33605,78.9199324,11.62264216
286,4.387606167,0,216.842081,0,67.11923542,,847.6644048,7234.205688,960.8897828,0,-80.52588659,28.61862134,22839.74995,79.01892571,11.62264095
287,5.307241392,0,248.7440977,0,72.61537537,,851.3091533,3924.221116,492.5819326,0,-80.55979852,28.61442397,22767.36187,79.0063883,11.62263876
288,2.031515165,0,111.0663488,0,73.85559369,,848.7146358,6030.928018,-321.467868,0,-80.53822078,28.60709497,22824.04857,78.77862815,11.62263543
289,2.555910247,0,75.06004202,0,71.40468671,,848.7325578,6027.263462,294.156531,0,-80.53825506,28.61263143,22830.19747,79.1431419,11.62263809
290,1.808790896,0,179.778426,0,73.41461575,,848.2110261,8380.006913,504.93005,0,-80.51415137,28.61451391,22790.41121,79.71878997,11.6226388
